id,Title,Content,original_tv_station_address,_original_tv_station_address,archive_1_name,_archive_1_name,archive_1_url,_archive_1_url,archive_2_name,_archive_2_name,archive_2_URL,_archive_2_URL,station_on_air_date,_station_on_air_date,station_off_air_date,_station_off_air_date,Visual,_Visual,Audio,_Audio,height_from_average_terrain,_height_from_average_terrain,height_from_ground,_height_from_ground,channel_code,_channel_code,archive_name,city,url,timeline,state,original_address,geo_address,geo_date,geo_longitude,geo_latitude,tower_power_statistics,_tower_power_statistics,station_power,_station_power,_,_city,_city,_state,city name,_city name,_encloseme,_pingme,_wp_old_date
110,(117) The Samuel House residence,"<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Wilbur Kurtz's Archival Description</span></strong>:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(117) The Samuel House residence – build circa 1855. Occupied as headquarters July 18<sup>th</sup>, 1864 by General W.T. Sherman, en route to Atlanta. Cox’s division of the federal 23<sup>rd</sup> Corps camped nearby.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(On road side – H. Cobb Caldwell’s Residence – Peachtree Road North of Oglethorpe University.)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Newspaper Description:</span></strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,"(2) A point in the outer line of defense works, occupied by Hardee’s Corps, July 18 – 22, 1864.","<!-- wp:paragraph -->
<p id=""1-A-point-in-the-outer-line-of-defense-works,-occupied-by-Hardee’s-Corps,-July-18-22,-1864.""><span style=""text-decoration: underline;""><strong>Wilbur Kurtz's Archival Description</strong>:</span></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(2) A point in the outer line of defense works, occupied by Hardee’s Corps, July 18 – 22, 1864. From this position Bate’s Division advanced to the Battle of Peachtree Creek, July 20, 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(North end of Piedmont Park on a 25 ft. remnant of the intrenched line still visible)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p id=""block-3443798a-7c88-4de5-92f9-1fc7738947c4""><strong><span style=""text-decoration: underline;"">Newspaper Description:</span></strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,(24) Residence of Maxwell R. Berry.,"<!-- wp:paragraph -->
<p><strong>Wilbur Kurtz' archival description</strong>:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(24) Site of the residence of Maxwell R. Berry; occupied as Headquarters by Maj. Gen. William W. Loring, CSA., 1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(Northwest corner, Walton and Fairlie Streets.  The house faced on Fairlie Street.).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Newspaper description:</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,"(25) Wesley Chapel, 1848-1870; First Methodist Church, 1870-1904.","<!-- wp:paragraph -->
<p><strong>Wilbur Kurtz's Archival Description</strong>:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(25) Site of Wesley Chapel, 1848-1870; First Methodist Church, 1870-1904.&nbsp; North half of lot occupied by Confederate Commissary Dept., 1863-1864, and known as the “Storrs School” after its removal to the N.W. corner of Houston St. and Piedmont Ave.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(On Candler Bldg., - preferably near main entrance – Peachtree St. side).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Newspaper Description</strong>:</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,"(26) First State Capitol in Atlanta, 1868-1889.","<!-- wp:paragraph -->
<p><strong>Wilbur Kurtz's Archival Description:</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(26) Site of the first State Capitol in Atlanta – 1868-1889.&nbsp; Erected by Hannibal I. Kimball as an Opera House.&nbsp; Demolished in 1900.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Newspaper Description:</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Site of the first State Capitol in Atlanta – 1868-1889.  Western Union Building, southwest corner Marietta and Forsyth Streets.</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,(27) Approximate site of the Mineral Spring,"<!-- wp:paragraph -->
<p><strong>Wilbur Kurtz's Archival Description:</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(27) Approximate site of the Mineral Spring, a popular resort in early Atlanta history.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(North end of the train sheds – Terminal Station).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Newspaper Description:</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"(28) Confederate Arsenal and Military Storehouse, 1863-1864.","<!-- wp:paragraph -->
<p><strong>Wilbur Kurtz's Archival Description:</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(28) Site of Confederate Arsenal and Military Storehouse, 1863-1864.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(Gee Muse Clothing Co., N.W. Peachtree and Walton Sts.)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Newspaper Description:</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Site of Confederate arsenal and military storehouse, 1863-1864.  George Muse Company store, Confederate barracks and prison, 1862-1864.  Peachtree Street, entrance Peachtree Arcade.</p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,(29) Site of “Norcross’ Corner” and the Norcross General Store.,"<!-- wp:paragraph -->
<p><strong>Wilbur Kurtz's Archival Description:</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(29) This site, known in early Atlanta history as “Norcross’ Corner”, was purchased by Jonathan Norcross, Fourth Mayor of Atlanta, March 21, 1846, from Samuel Mitchell who created Atlanta’s first subdivision.  Here was established the Norcross General Store.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(First National Bank at Five Points.&nbsp; Mr. J.K. Ottley stated that he would arrange for this tablet).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Newspaper Description:</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,(3) Piedmont Park,"<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Wilbur Kurtz's Archival Description</span></strong>:</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(3) Piedmont Park. Site of Piedmont Exposition of 1887 and the Cotton States and International Exposition of 1895. After the latter exposition the property was purchased by the city, and has gradually been developed into the splendid Piedmont Park of today.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(Some prominent location in Piedmont Park)</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong><span style=""text-decoration: underline;"">Newspaper Description:</span></strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"(30) Concert Hall, used as Confederate Barracks and Prison, 1862-1864.","<!-- wp:paragraph -->
<p><strong>Wilbur Kurtz's Archival Description:</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(30) Site of Concert Hall, used as Confederate Barracks and Prison, 1862-1864.&nbsp; From this building, James J. Andrews, of the Andrews Raid, was taken to the place of execution.&nbsp; Here stood the National Hotel.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>(Peachtree St., front Peachtree Arcade).</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Newspaper Description:</strong></p>
<!-- /wp:paragraph -->",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
